caminho_original;nome_original;nome_proposto;raiz;confianca;tipo;numero;orgao;data;suspeito
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_4113.pdf;empenho_DETRAN_view_4113.pdf;CONTRATO_DETRAN_2017-01-02_56847f.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2017-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_4001.pdf;empenho_DETRAN_view_4001.pdf;TA_122016_DETRAN_2016-12-26_0542ae.pdf;SPCF_EXTRACAO;0.85;TA;12/2016;DETRAN;2016-12-26;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_4125.pdf;empenho_DETRAN_view_4125.pdf;CONTRATO_DETRAN_2017-01-02_f1a14c.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2017-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_4020.pdf;empenho_DETRAN_view_4020.pdf;TA_122016_DETRAN_2016-12-28_8c46b2.pdf;SPCF_EXTRACAO;0.85;TA;12/2016;DETRAN;2016-12-28;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_4121.pdf;empenho_DETRAN_view_4121.pdf;CONTRATO_DETRAN_2017-01-02_a630e9.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2017-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_4022.pdf;empenho_DETRAN_view_4022.pdf;TA_122016_DETRAN_2016-12-28_7461c4.pdf;SPCF_EXTRACAO;0.85;TA;12/2016;DETRAN;2016-12-28;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_4130.pdf;empenho_DETRAN_view_4130.pdf;CONTRATO_DETRAN_2017-01-02_891d01.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2017-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_4126.pdf;empenho_DETRAN_view_4126.pdf;CONTRATO_DETRAN_2017-01-02_272257.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2017-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_4128.pdf;empenho_DETRAN_view_4128.pdf;CONTRATO_DETRAN_2017-01-02_e9434f.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2017-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_4136.pdf;empenho_DETRAN_view_4136.pdf;CONTRATO_DETRAN_2017-01-02_c7af87.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2017-01-02;0
