id;fontes;contrato;comp;emissao;venc_est;valor;situacao;prescrita;exigivel;tem_db;empenhos_qtd
166664;ABERTO+GERAL;C.21/2021;02/2026;25/02/2026;2026-03-27;30166,20;Emitida;NAO;SIM;NAO;0
166666;ABERTO+GERAL;C.5/2021;02/2026;25/02/2026;2026-03-27;121,96;Emitida;NAO;SIM;NAO;0
166667;ABERTO+GERAL;C.5/2021;02/2026;25/02/2026;2026-03-27;35990,46;Emitida;NAO;SIM;NAO;0
166732;ABERTO+GERAL;C.18/2021;02/2026;26/02/2026;2026-03-28;66814,65;Emitida;NAO;SIM;NAO;0
166734;ABERTO+GERAL;C.18/2021;02/2026;26/02/2026;2026-03-28;4477,62;Emitida;NAO;SIM;NAO;0
166731;ABERTO+GERAL;C.18/2021;02/2026;26/02/2026;2026-03-28;46446,85;Emitida;NAO;SIM;NAO;0
166733;ABERTO+GERAL;C.18/2021;02/2026;26/02/2026;2026-03-28;114100,00;Emitida;NAO;SIM;NAO;0
166730;ABERTO+GERAL;C.18/2024;02/2026;26/02/2026;2026-03-28;146012,35;Emitida;NAO;SIM;NAO;0
166735;ABERTO+GERAL;C.18/2021;02/2026;26/02/2026;2026-03-28;11207,02;Emitida;NAO;SIM;NAO;0
166736;ABERTO+GERAL;C.18/2021;02/2026;26/02/2026;2026-03-28;20888,40;Emitida;NAO;SIM;NAO;0
167202;ABERTO+GERAL;C.5/2021;03/2026;25/03/2026;2026-04-24;35990,46;Emitida;NAO;SIM;NAO;0
167201;ABERTO+GERAL;C.5/2021;03/2026;25/03/2026;2026-04-24;121,96;Emitida;NAO;SIM;NAO;0
167205;ABERTO+GERAL;C.21/2021;03/2026;25/03/2026;2026-04-24;158160,62;Emitida;NAO;SIM;NAO;0
167207;ABERTO+GERAL;C.21/2021;03/2026;25/03/2026;2026-04-24;30166,20;Emitida;NAO;SIM;NAO;0
167208;ABERTO+GERAL;C.21/2021;03/2026;25/03/2026;2026-04-24;32504,44;Emitida;NAO;SIM;NAO;0
167206;ABERTO+GERAL;C.21/2021;03/2026;25/03/2026;2026-04-24;66565,09;Emitida;NAO;SIM;NAO;0
167245;ABERTO+GERAL;C.18/2024;03/2026;25/03/2026;2026-04-24;146012,35;Emitida;NAO;SIM;NAO;0
167274;ABERTO+GERAL;C.18/2021;03/2026;27/03/2026;2026-04-26;114100,00;Emitida;NAO;SIM;NAO;0
167276;ABERTO+GERAL;C.18/2021;03/2026;27/03/2026;2026-04-26;35938,98;Emitida;NAO;SIM;NAO;0
167204;ABERTO+GERAL;C.18/2021;03/2026;27/03/2026;2026-04-26;20888,40;Emitida;NAO;SIM;NAO;0
167273;ABERTO+GERAL;C.18/2021;03/2026;27/03/2026;2026-04-26;4477,62;Emitida;NAO;SIM;NAO;0
167275;ABERTO+GERAL;C.18/2021;03/2026;27/03/2026;2026-04-26;67238,87;Emitida;NAO;SIM;NAO;0
167203;ABERTO+GERAL;C.18/2021;03/2026;27/03/2026;2026-04-26;11207,02;Emitida;NAO;SIM;NAO;0
6341;GERAL;;01/2019;28/01/2019;2019-02-27;104511,33;Paga;SIM;NAO;NAO;0
6337;GERAL;;01/2019;28/01/2019;2019-02-27;16078,67;Paga;SIM;NAO;NAO;0
6340;GERAL;;01/2019;28/01/2019;2019-02-27;118145,12;Paga;SIM;NAO;NAO;0
6338;GERAL;;01/2019;28/01/2019;2019-02-27;18176,17;Paga;SIM;NAO;NAO;0
6339;GERAL;;01/2019;28/01/2019;2019-02-27;19810,79;Paga;SIM;NAO;NAO;0
6336;GERAL;;01/2019;28/01/2019;2019-02-27;3047,81;Paga;SIM;NAO;NAO;0
6349;GERAL;;01/2019;30/01/2019;2019-03-01;118151,46;Paga;SIM;NAO;NAO;0
6855;GERAL;;02/2019;25/02/2019;2019-03-27;22858,60;Paga;SIM;NAO;NAO;0
6856;GERAL;;02/2019;25/02/2019;2019-03-27;120590,00;Paga;SIM;NAO;NAO;0
