id;numero;contrato_ref;valor;situacao;data_emissao;descricao
18694;2023NE0001314;;892073,0;Ativo;07/07/2023;ANULAÇÃO NE Nº 2023NE00008, Contratação de serviços técnicos de informática, compreendendo o desenvolvimento de sistema de informação, visando atender as necessidades deste Departamento Estadual de Trânsito do Amazonas. 1º TERMO ADITIVO CONTRATO 012/21 VIGENCIA 17/07/22 A 16/07/22, FUNDAMENTO LEGAL: DISPENSA DE LICITAÇÃO ART.24 XVI LEI Nº8.666/93, PORTARIA Nº284/2021/DETRAN/AM, PUBLICADA D.O.E. DE 10/06/2021 EDIÇÃO Nº34.519.
17359;2022NE0000681;;995969,12;Ativo;07/06/2022;Anulação Parcial da NE nº 2022NE0000025, Contratação de serviços técnicos de informática, compreendendo o desenvolvimento de sistema de informação, visando atender as necessidades deste Departamento Estadual de Trânsito do Amazonas. CONTRATO Nº 12/2021, DISPENSA DE LICITAÇÃO CONFORME PORTARIA Nº 0284/2021-DETRAN/AM, PUBLICADA DOR DE 10/06/2021.
17358;2022NE0000680;;344775,59;Ativo;07/06/2022;Anulação Parcial da NE nº 2022NE000040, Contratação de serv. de implantação de licença de uso de sist. de identificação e controle de candidatos e motoristas, englobando a identificação biométrica, prova eletrônica de legislação, controle de presença nas aulas teóricas e prática de direção. 6º TERMO ADITIVO AO CONTRATO Nº 04/2016.
21936;2025NE0000674;75/2022;1078376,0;Ativo;07/05/2025;Contratação de serviço de Fornecimento de licença de uso de sistema de identificação e controle dos candidatos e motoristas para atender as necessidades do Departamento Estadual de Trânsito do Amazonas. TC: 0075/2022 AD: 02.
21937;2025NE0000675;83/2022;215257,0;Ativo;07/05/2025;Contratação de empresa especializada em licença de uso de sistemas de informação, compreendendo a cessão de uso da solução de Talão Eletrônico na plataforma Android, para atender as necessidades do DETRAN/AM. TC: 0083/2022 AD: 02.
21935;2025NE0000673;10/2021;1365073,05;Ativo;07/05/2025;Contratação de empresa para prestação de serviços de fornecimento de software com a disponibilização de uma solução de gestão de trânsito, em infraestrutura de nuvem, para atender as necessidades deste DETRAN/AM. TC: 0010/2021 AD: 03.
20322;2024NE0000819;8/2021;8511,7;Ativo;07/05/2024;Prestação de serviços de fornecimento e execução dos sistemas plataforma Prodam-RH e plataforma web (Sproweb). Parecer nº 1081/2023-DETRAN/AM/AJUR (pág.119) TC: 0008/2021 AD: 04.
20323;2024NE0000820;10/2021;1365073,05;Ativo;07/05/2024;Contratação de empresa para prestação de serviços de fornecimento de software com a disponibilização de uma solução de gestão de trânsito, em infraestrutura de nuvem, para atender as necessidades deste DETRAN/AM. PARECER Nº617/2023 (pág.115) TC: 0010/2021 AP.
20321;2024NE0000818;6/2021;326901,9;Ativo;07/05/2024;Prestação de serviços de tecnologia Virtual Private Network (VPN) para acesso aos sistemas do contratante no computador central da contratada, fornecimento de circuito de transmissão de dados. PARECER Nº 344/2023-DETRAN-AM (pág.129) TC: 0006/2021 AD: 03.
20324;2024NE0000821;75/2022;520000,0;Ativo;07/05/2024;Considerando a necessidade de modificar a dotação orçamentário do Termo de Contrato n° 075/2022- DETRAN/AM, em razão da modificação da Unidade Gestora do Órgão, alterando de 022201 para 011.210, em conformidade com a Lei n° 6.225/2023. TC: 0075/2022 AP.
20326;2024NE0000823;12/2021;382317,0;Ativo;07/05/2024;Considerando a necessidade de modificação da dotação orçamentária do Termo de Contrato n° 012/2021-DETRAN/AM, em razão da modificação da Unidade Gestora do Órgão, alterando de 022201 para 011.210, em conformidade com a Lei 6.225/23. TC: 0012/2021 AP.
20325;2024NE0000822;83/2022;59000,0;Ativo;07/05/2024;Considerando a necessidade de modificar a dotação orçamentário do Termo de Contrato n° 083/2022- DETRAN/AM, em razão da modificação da Unidade Gestora do Órgão, alterando de 022201 para 011.210, em conformidade com a Lei n° 6.225/2023. TC: 0083/2022 AP.
21682;2025NE0000307;12/2021;382317,0;Ativo;07/03/2025;Contratação de serviços técnicos de informática, compreendendo o desenvolvimento de sistema de informação, visando atender as necessidades deste Departamento Estadual de Trânsito do Amazonas. TC: 0012/2021 AD: 04.
21683;2025NE0000308;75/2022;539188,0;Ativo;07/03/2025;Contratação de serviço de Fornecimento de licença de uso de sistema de identificação e controle dos candidatos e motoristas para atender as necessidades do Departamento Estadual de Trânsito do Amazonas. TC: 0075/2022 AD: 02.
21679;2025NE0000304;6/2021;163450,95;Ativo;07/03/2025;Contratação de serviços de tecnologia Virtual Private Network (VPN) para acesso aos sistemas do contratante no computador central da contratada, fornecimento de circuito de transmissão de dados. TC: 0006/2021 AD: 03.
21680;2025NE0000305;8/2021;4255,85;Ativo;07/03/2025;Contratação de serviços de fornecimento e execução dos sistemas plataforma Prodam-RH e plataforma web (Sproweb). TC: 0008/2021 AD: 04.
21681;2025NE0000306;10/2021;1820097,4;Ativo;07/03/2025;Contratação de empresa para prestação de serviços de fornecimento de software com a disponibilização de uma solução de gestão de trânsito, em infraestrutura de nuvem, para atender as necessidades deste DETRAN/AM. TC: 0010/2021 AD: 03.
21684;2025NE0000309;83/2022;61502,0;Ativo;07/03/2025;Contratação de empresa especializada em licença de uso de sistemas de informação, compreendendo a cessão de uso da solução de Talão Eletrônico na plataforma Android, para atender as necessidades do DETRAN/AM. TC: 0083/2022 AD: 02.
1909;2015NE00054;1/2011;17482,8;Ativo;07/01/2015;SERVIÇO DE ACESSO AO COMPUTADOR DA PRODAM VIA TECNOLOGIA VPN 17 LICENÇAS.
1934;2015NE00055;1/2011;17482,8;Ativo;07/01/2015;ANULAÇÃO DA NE Nº 54/2015 - PRODAM - SERVIÇO DE ACESSO AO COMPUTADOR DA PRODAM ATRAVÉS DE FORNECIMENTO DE 17 LICENÇAS VPN, 4º TERMO DE ADITAMENTO AO CONTRATO Nº 001/2011, DEVIDO ESTÁ COM DESCRIÇÃO INCORRETA.
17131;2022NE0000417;6/2021;467211,63;Ativo;06/04/2022;PRESTAÇÃO DE SERVIÇOS DE TECNOLOGIA VIRTUAL PRIVATE NETWORK (VPN) PARA ACESSO AOS SISTEMAS DO CONTRATANTE NO COMPUTADOR CENTRAL DA CONTRATADA, FORNECIMENTO DE CIRCUITO DE TRANSMISSÃO DE DADOS. 1º Termo Aditivo ao Contrato nº 006/2021, Dispensa de Licitação com base na Portaria nº 036/2021-Detran/Am, publicada DOE de 02/03/2021.
2808;2016NE00256;1/2011;3715,11;Ativo;06/04/2016;Serviços técnicos de telecomunicações compreendendo a comunicação de dados através do fornecimento de 17 licenças de software de tecnologia VPN-Virtual Private Network. 7º TERMO ADITIVO CONTRATO Nº001/2011, OBJETO PRORROGAÇÃO DE PRAZO VEIGENCIA 03 MESES (07/04/16 A 06/07/16) RDL Nº0082011
20051;2024NE0000249;83/2022;59000,0;Ativo;06/03/2024;Considerando a necessidade de modificar a dotação orçamentário do Termo de Contrato n° 083/2022- DETRAN/AM, em razão da modificação da Unidade Gestora do Órgão, alterando de 022201 para 011.210, em conformidade com a Lei n° 6.225/2023. TC: 0083/2022 AP.
20048;2024NE0000246;8/2021;4255,82;Ativo;06/03/2024;Prestação de serviços de fornecimento e execução dos sistemas plataforma Prodam-RH e plataforma web (Sproweb). Parecer nº 1081/2023-DETRAN/AM/AJUR (pág.119) TC: 0008/2021 AP.
20049;2024NE0000247;12/2021;382317,0;Ativo;06/03/2024;Considerando a necessidade de modificação da dotação orçamentária do Termo de Contrato n° 012/2021-DETRAN/AM, em razão da modificação da Unidade Gestora do Órgão, alterando de 022201 para 011.210, em conformidade com a Lei 6.225/23. TC: 0012/2021 AP.
20050;2024NE0000248;75/2022;520000,0;Ativo;06/03/2024;Considerando a necessidade de modificar a dotação orçamentário do Termo de Contrato n° 075/2022- DETRAN/AM, em razão da modificação da Unidade Gestora do Órgão, alterando de 022201 para 011.210, em conformidade com a Lei n° 6.225/2023. TC: 0075/2022 AP.
1396;2015NE00090;1/2011;17482,8;Ativo;06/02/2015;4º TERMO ADTIVO AO CONTRATO Nº001/2011 OBJETO PRORROGAÇÃO DE PRAZO E REAJUSTE DE 3,54% E ACRESCIMO DE SERVIÇOS EM 21,43, VIGENCIA 12 MESES 07/01/2015 A 06/01/2016 DISP.LIC.PORT.055/2011/DETRAN PUBLIC.D.O.E. DE 07/01/2011 RDL Nº008/2010-e-compras
2016;2015NE00089;1/2011;17482,8;Ativo;06/02/2015;anulação da n.e. 0056 de 05/01/2015 por motivo de ter sido emitida com grupo de despesa incorreto referente 4º termo aditivo contrato nº001/2001,
12345;2019NE01297;14/2019;3341,76;Ativo;05/12/2019;Contratação de empresa para prestação de serviços de execução de sistema de protocolo em plataforma web (SPROWEB), objetivando o controle e acompanhamento do registro de todos os documentos ou processos do Departamento Estadual de Trânsito. CONTRATO A SER FIRMADO, VIGÊNCIA: 12 MESES A CONTAR DA ASSINATURA, DISPENSA DE LICITAÇÃO PORTARIA Nº 2022/2019, PUBLICADA D.O.E. DE 02/12/2019 Nº 34.135.
10664;2018NE01128;;25323,58;Ativo;05/11/2018;ANULAÇÃO SALDO NE. Nº262/18 4º T.ADT. CONTR. Nº25/2014
10663;2018NE01127;;29948,96;Ativo;05/11/2018;ANULAÇÃO SALDO NE Nº264/18 5º T. ADT. CONTR. Nº028/2012
10661;2018NE01130;;120321,15;Ativo;05/11/2018;ANULAÇÃO SALDO NE. Nº260/18 2º TERMO ADT. CONTR. Nº017/2015
10659;2018NE01131;;29628,42;Ativo;05/11/2018;ANULAÇÃO SALDO NE. Nº256/18 3º T. ADT. CONTR. Nº23/2014
10665;2018NE01129;;194577,58;Ativo;05/11/2018;ANULAÇÃO SALDO NE.790/18 3º T. ADT. CONTRATO Nº017/2015
19056;2023NE0001723;75/2022;520000,0;Ativo;05/09/2023;Contratação de serviço de Fornecimento de licença de uso de sistema de identificação e controle dos candidatos e motoristas para atender as necessidades do Departamento Estadual de Trânsito do Amazonas. PARECER Nº 1015/2023-AJUR/DETRAN (pág. 94) TC: 0075/2022 AD: 01.
3158;2016NE00501;;0,27;Ativo;05/08/2016;anulação do saldo ne.256 de 06/04/16 7º termo aditivo contrato nº001/2011 rdl nº008/2011.
20574;2024NE0001225;83/2022;59000,0;Ativo;05/07/2024;Considerando a necessidade de modificar a dotação orçamentário do Termo de Contrato n° 083/2022- DETRAN/AM, em razão da modificação da Unidade Gestora do Órgão, alterando de 022201 para 011.210, em conformidade com a Lei n° 6.225/2023. TC: 0083/2022 AP.
