nome_original;nome_novo;tipo;numero;orgao;cnpj;data;valor_principal;procedencia;estagio;score;confianca;caminho_original;caminho_novo;erro
01.05.016503.003675_2024_60 (SEDUC).pdf;CONTRATO_SEDUC_2024-10-30_900818.pdf;CONTRATO;;SEDUC;03003675202460;2024-10-30;;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.05.016503.003675_2024_60 (SEDUC).pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_SEDUC_2024-10-30_900818.pdf;
01.05.016503.004932.2025-61.pdf;CONTRATO_SEDUC_2025-11-27_b39a7e.pdf;CONTRATO;;SEDUC;03004932202561;2025-11-27;42120361.26;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.05.016503.004932.2025-61.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_SEDUC_2025-11-27_b39a7e.pdf;
01.05.016503.005505_2020_96 RESP SEDUC 12.2020.pdf;01.05.016503.005505_2020_96-RE_revisar_b1826e.pdf;OUTRO;;;03005505202096;2020-12-03;;P1-DOC;nativo;1.0;0.25;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.05.016503.005505_2020_96 RESP SEDUC 12.2020.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\01.05.016503.005505_2020_96-RE_revisar_b1826e.pdf;
017.SEDUC - PLANILHA.pdf;CONTRATO_SEDUC_2025-02-10_ba3083.pdf;CONTRATO;;SEDUC;01026464202384;2025-02-10;;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\017.SEDUC - PLANILHA.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_SEDUC_2025-02-10_ba3083.pdf;
124.SEDUC- Inadimplência x Comprometimento Matrículas.pdf;CONTRATO_SEDUC_2025-11-27_92573a.pdf;CONTRATO;;SEDUC;03004932202561;2025-11-27;42120361.26;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\124.SEDUC- Inadimplência x Comprometimento Matrículas.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_SEDUC_2025-11-27_92573a.pdf;
209.SEDUC- Inadimplência x Comprometimento Matrículas.pdf;OUTRO_SEDUC_11f4f0.pdf;OUTRO;;SEDUC;03005395202577;;48991760.36;P1-DOC;nativo;1.0;0.3;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\209.SEDUC- Inadimplência x Comprometimento Matrículas.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\OUTRO_SEDUC_11f4f0.pdf;
Carta circular nº 03-2025-DAF-GEFIN.pdf;Carta-circular-nº-03-2025-DAF-_revisar_8a5995.pdf;OUTRO;;SEDUC;;;;P1-DOC;nativo;1.0;0.15;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\Carta circular nº 03-2025-DAF-GEFIN.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\Carta-circular-nº-03-2025-DAF-_revisar_8a5995.pdf;
Carta cobrança FVO SEJEL SEDUC.pdf;Carta-cobrança-FVO-SEJEL-SEDUC_revisar_65fe98.pdf;OUTRO;;SEDUC;;;;P1-DOC;nativo;1.0;0.15;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\Carta cobrança FVO SEJEL SEDUC.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\Carta-cobrança-FVO-SEJEL-SEDUC_revisar_65fe98.pdf;
Carta cobrança SEDUC.pdf;Carta-cobrança-SEDUC_revisar_c3b205.pdf;OUTRO;;SEDUC;;;;P1-DOC;nativo;1.0;0.15;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\Carta cobrança SEDUC.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\Carta-cobrança-SEDUC_revisar_c3b205.pdf;
Carta cobrança SEDUC__70572591fa.pdf;Carta-cobrança-SEDUC__70572591_revisar_176216.pdf;OUTRO;;SEDUC;;;;P1-DOC;nativo;1.0;0.15;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\Carta cobrança SEDUC__70572591fa.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\Carta-cobrança-SEDUC__70572591_revisar_176216.pdf;
Carta de cobrança.pdf;Carta-de-cobrança_revisar_e64ad8.pdf;OUTRO;;SEDUC;;;;P1-DOC;nativo;1.0;0.15;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\Carta de cobrança.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\Carta-de-cobrança_revisar_e64ad8.pdf;
DP PRESI 017-2025-01.05.016503.000610-2025-43.pdf;CONTRATO_SEDUC_2025-02-12_1494ad.pdf;CONTRATO;;SEDUC;03000610202543;2025-02-12;;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\DP PRESI 017-2025-01.05.016503.000610-2025-43.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_SEDUC_2025-02-12_1494ad.pdf;
faturas_devidas SEDUC - 2023 a 2025.pdf;CONTRATO_SEDUC_2023-01-01_94453b.pdf;CONTRATO;;SEDUC;01020110202326;2023-01-01;;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\faturas_devidas SEDUC - 2023 a 2025.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_SEDUC_2023-01-01_94453b.pdf;
faturas_devidas.pdf;CONTRATO_SEDUC_2010-12-10_b9ce7f.pdf;CONTRATO;;SEDUC;;2010-12-10;;P1-DOC;nativo;1.0;0.65;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\faturas_devidas.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_SEDUC_2010-12-10_b9ce7f.pdf;
faturas_devidas__27d9e95a15.pdf;CONTRATO_SEDUC_2010-12-10_c231e4.pdf;CONTRATO;;SEDUC;01020110202326;2010-12-10;;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\faturas_devidas__27d9e95a15.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_SEDUC_2010-12-10_c231e4.pdf;
