caminho;caminho_rel;raiz;nome;size_bytes;paginas;tem_texto;chars_p1;suspeito
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12646_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12646_DETRAN.pdf;SPCF_EXTRACAO;empenho_12646_DETRAN.pdf;72769;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11842_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11842_DETRAN.pdf;SPCF_EXTRACAO;empenho_11842_DETRAN.pdf;70658;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12647_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12647_DETRAN.pdf;SPCF_EXTRACAO;empenho_12647_DETRAN.pdf;71943;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12651_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12651_DETRAN.pdf;SPCF_EXTRACAO;empenho_12651_DETRAN.pdf;71943;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12595_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12595_DETRAN.pdf;SPCF_EXTRACAO;empenho_12595_DETRAN.pdf;71094;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12567_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12567_DETRAN.pdf;SPCF_EXTRACAO;empenho_12567_DETRAN.pdf;71405;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_1282_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_1282_DETRAN.pdf;SPCF_EXTRACAO;empenho_1282_DETRAN.pdf;70326;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12791_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12791_DETRAN.pdf;SPCF_EXTRACAO;empenho_12791_DETRAN.pdf;70992;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12649_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12649_DETRAN.pdf;SPCF_EXTRACAO;empenho_12649_DETRAN.pdf;70881;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12800_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12800_DETRAN.pdf;SPCF_EXTRACAO;empenho_12800_DETRAN.pdf;70565;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12796_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12796_DETRAN.pdf;SPCF_EXTRACAO;empenho_12796_DETRAN.pdf;70716;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13125_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13125_DETRAN.pdf;SPCF_EXTRACAO;empenho_13125_DETRAN.pdf;70036;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12341_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12341_DETRAN.pdf;SPCF_EXTRACAO;empenho_12341_DETRAN.pdf;71415;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12653_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12653_DETRAN.pdf;SPCF_EXTRACAO;empenho_12653_DETRAN.pdf;72330;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13127_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13127_DETRAN.pdf;SPCF_EXTRACAO;empenho_13127_DETRAN.pdf;70036;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13128_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13128_DETRAN.pdf;SPCF_EXTRACAO;empenho_13128_DETRAN.pdf;70034;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13126_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13126_DETRAN.pdf;SPCF_EXTRACAO;empenho_13126_DETRAN.pdf;70036;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13129_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13129_DETRAN.pdf;SPCF_EXTRACAO;empenho_13129_DETRAN.pdf;70031;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12847_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12847_DETRAN.pdf;SPCF_EXTRACAO;empenho_12847_DETRAN.pdf;70695;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13263_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13263_DETRAN.pdf;SPCF_EXTRACAO;empenho_13263_DETRAN.pdf;71067;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13266_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13266_DETRAN.pdf;SPCF_EXTRACAO;empenho_13266_DETRAN.pdf;71591;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13472_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13472_DETRAN.pdf;SPCF_EXTRACAO;empenho_13472_DETRAN.pdf;70651;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13267_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13267_DETRAN.pdf;SPCF_EXTRACAO;empenho_13267_DETRAN.pdf;71398;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13475_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13475_DETRAN.pdf;SPCF_EXTRACAO;empenho_13475_DETRAN.pdf;70090;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13560_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13560_DETRAN.pdf;SPCF_EXTRACAO;empenho_13560_DETRAN.pdf;73300;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13477_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13477_DETRAN.pdf;SPCF_EXTRACAO;empenho_13477_DETRAN.pdf;70269;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13559_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13559_DETRAN.pdf;SPCF_EXTRACAO;empenho_13559_DETRAN.pdf;74344;2;1;1263;0
