caminho;nome;raiz;tipo;numero;orgao;cnpj;data;valor;confianca
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12796_DETRAN.pdf;empenho_12796_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2019-12-30;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13128_DETRAN.pdf;empenho_13128_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-07-08;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12341_DETRAN.pdf;empenho_12341_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;022/2014;DETRAN;;2019-12-02;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13127_DETRAN.pdf;empenho_13127_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-07-08;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12653_DETRAN.pdf;empenho_12653_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-01-02;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13126_DETRAN.pdf;empenho_13126_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-07-08;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12847_DETRAN.pdf;empenho_12847_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;014/2019;DETRAN;;2019-12-30;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13263_DETRAN.pdf;empenho_13263_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-08-12;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13129_DETRAN.pdf;empenho_13129_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-07-08;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13472_DETRAN.pdf;empenho_13472_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;022/2014;DETRAN;;2020-10-26;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13266_DETRAN.pdf;empenho_13266_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;14/2019;DETRAN;;2020-08-12;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13267_DETRAN.pdf;empenho_13267_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-08-12;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13475_DETRAN.pdf;empenho_13475_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-10-26;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13560_DETRAN.pdf;empenho_13560_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;022/2014;DETRAN;;2020-11-10;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13559_DETRAN.pdf;empenho_13559_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;017/2015;DETRAN;;2020-11-10;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13477_DETRAN.pdf;empenho_13477_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;004/2016;DETRAN;;2020-10-26;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13476_DETRAN.pdf;empenho_13476_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;027/2014;DETRAN;;2020-10-26;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13562_DETRAN.pdf;empenho_13562_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-11-10;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13264_DETRAN.pdf;empenho_13264_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-08-12;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13743_DETRAN.pdf;empenho_13743_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-12-31;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13474_DETRAN.pdf;empenho_13474_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-10-26;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13585_DETRAN.pdf;empenho_13585_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;011/2016;DETRAN;;2020-11-11;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13745_DETRAN.pdf;empenho_13745_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-12-31;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13746_DETRAN.pdf;empenho_13746_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-12-31;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13742_DETRAN.pdf;empenho_13742_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-12-31;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13586_DETRAN.pdf;empenho_13586_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;011/2016;DETRAN;;2020-11-11;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13588_DETRAN.pdf;empenho_13588_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;004/2016;DETRAN;;2020-11-11;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13587_DETRAN.pdf;empenho_13587_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;027/2014;DETRAN;;2020-11-11;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13747_DETRAN.pdf;empenho_13747_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-12-31;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13748_DETRAN.pdf;empenho_13748_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-12-31;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13751_DETRAN.pdf;empenho_13751_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-12-31;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_1405_DETRAN.pdf;empenho_1405_DETRAN.pdf;SPCF_EXTRACAO;TA;09/2015;DETRAN;;2015-09-25;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_14105_DETRAN.pdf;empenho_14105_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2021-03-25;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_14445_DETRAN.pdf;empenho_14445_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2021-07-30;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_1396_DETRAN.pdf;empenho_1396_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;001/2011;DETRAN;;2015-02-06;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13750_DETRAN.pdf;empenho_13750_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-12-31;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13744_DETRAN.pdf;empenho_13744_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-12-31;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13749_DETRAN.pdf;empenho_13749_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2020-12-31;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_14446_DETRAN.pdf;empenho_14446_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2021-07-30;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_14561_DETRAN.pdf;empenho_14561_DETRAN.pdf;SPCF_EXTRACAO;TA;08/2021;DETRAN;;2021-08-24;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_14560_DETRAN.pdf;empenho_14560_DETRAN.pdf;SPCF_EXTRACAO;TA;08/2021;DETRAN;;2021-08-24;;0.85
